scheduled_at,profile,text,media_url
"2026-05-04 15:00:00","instagram","🇲🇴 Stage 06: Macau\nCotai Strip · Imperial Dragon\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage06 #macau #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/06-stage-macau.mp4"
"2026-05-04 15:00:00","x","🇲🇴 Stage 06: Macau — Cotai Strip · Imperial Dragon\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/06-stage-macau.mp4"
"2026-05-05 15:00:00","instagram","Banker vs Player — 50.7% vs 49.3%. The math says it all 🐉\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #ezbaccarat #math #strategy #cardgame @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/18-banker-vs-player.mp4"
"2026-05-05 15:00:00","x","Banker vs Player — 50.7% vs 49.3%. The math behind why banker is the play.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/18-banker-vs-player.mp4"
"2026-05-06 15:00:00","instagram","🐺 Stage 07: Big Bad Wolfie\nHowl at the moon\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage07 #folklore #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/07-stage-huff-puff.mp4"
"2026-05-06 15:00:00","x","🐺 Stage 07: Big Bad Wolfie — Howl at the moon\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/07-stage-huff-puff.mp4"
"2026-05-07 15:00:00","instagram","The squeeze 🃏\nSlow it down next time you play.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #asmr #cards #squeeze #cardgame #satisfying #slowmo @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/19-squeeze-asmr.mp4"
"2026-05-07 15:00:00","x","Slow it down — the squeeze in baccarat is half math, half ritual.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/19-squeeze-asmr.mp4"
"2026-05-08 15:00:00","instagram","🛡 Stage 17: The Colosseum\nImperial Rome · Tyrian purple\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage17 #colosseum #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/17-stage-gladiator.mp4"
"2026-05-08 15:00:00","x","🛡 Stage 17: The Colosseum — Imperial Rome · Tyrian purple\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/17-stage-gladiator.mp4"
